nothing	word	time	filler
At	"""At"""	12	0
construction	"""construction"""	12	5
At	"""At"""	12	2
construction	"""construction"""	12	5
construction	"""construction"""	12	0
construction	"""construction"""	12	6
On	"""On"""	12	3
construction	"""construction"""	12	2
Unless	"""Unless"""	12	3
Prior	"""Prior"""	12	7
On	"""On"""	12	5
file	"""file"""	12	2
construction	"""construction"""	12	0
Prior	"""Prior"""	12	5
construction	"""construction"""	12	5
Unless	"""Unless"""	12	3
construction	"""construction"""	12	7
file	"""file"""	12	5
1057533	"""1057533"""	12	5
1057533	"""1057533"""	12	3
file	"""file"""	12	5
1057533	"""1057533"""	12	0
On	"""On"""	12	0
1057533	"""1057533"""	12	2
1057533	"""1057533"""	12	0
Unless	"""Unless"""	12	6
1057533	"""1057533"""	12	7
1057533	"""1057533"""	12	4
Enbridge	"""Enbridge"""	12	0
Enbridge	"""Enbridge"""	12	0
Enbridge	"""Enbridge"""	12	0
file	"""file"""	12	0
This	"""This"""	12	0
This	"""This"""	12	7
Enbridge	"""Enbridge"""	12	7
file	"""file"""	12	0
file	"""file"""	12	0
"""file"	"""""file"""	12	3
file	"""file"""	12	3
KMC	"""KMC"""	12	3
"""file"	"""""file"""	12	3
"""file"	"""""file"""	12	3
construction	"""construction"""	12	3
construction	"""construction"""	12	0
construction	"""construction"""	12	0
Unless	"""Unless"""	12	8
construction	"""construction"""	12	7
Unless	"""Unless"""	12	2
Commitments	"""Commitments"""	12	7
Updated	"""Updated"""	12	5
n-Line	"""n-Line"""	12	3
Cracking	"""Cracking"""	12	3
Project	"""Project"""	12	3
Construction	"""Construction"""	12	0
Enbridge	"""Enbridge"""	12	6
"Environment

3."	"""Environment

3."""	12	0
Long	"""Long"""	12	0
Post-Construction	"""Post-Construction"""	12	3
Repair	"""Repair"""	12	0
Emergency	"""Emergency"""	12	3
Leak	"""Leak"""	12	4
Construction	"""Construction"""	12	3
Order	"""Order"""	12	5
"""St."	"""""St."""	12	7
St.	"""St."""	12	8
St.	"""St."""	12	0
"""St."	"""""St."""	12	8
St.	"""St."""	12	2
Unless	"""Unless"""	12	0
"""St."	"""""St."""	12	7
Alliance	"""Alliance"""	12	0
Alliance	"""Alliance"""	12	3
Unless	"""Unless"""	12	0
file	"""file"""	12	7
Alliance	"""Alliance"""	12	0
Unless	"""Unless"""	12	0
At	"""At"""	12	7
Unless	"""Unless"""	12	3
